                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1002,                 4.4953,                 1.6489,                      0,                      0,                      0,                      0,                0.99477,                 4.0251,                 1.5647,             7.2391e-05,             7.2391e-05,             7.2391e-05
                      2,                0.79927,                 4.1658,                 1.3858,                0.01185,                0.34146,                 0.0765,                0.05092,                 1.2988,                 3.7734,                 2.0011,             0.00014494,             0.00014494,             0.00014494
                      3,                0.74868,                 3.9031,                 1.3289,                0.45214,                0.18293,                0.11848,                0.05353,                 1.4925,                 3.3413,                 2.7465,             0.00021603,             0.00021603,             0.00021603
                      4,                0.75021,                  3.577,                 1.3241,                0.63313,                0.07317,                0.12395,                0.07036,                 1.5169,                 3.2577,                 2.5878,             0.00021541,             0.00021541,             0.00021541
                      5,                0.75586,                 3.2266,                 1.2971,                0.15215,                0.67073,                0.21535,                0.14568,                 1.3748,                 3.0978,                 2.7885,             0.00021541,             0.00021541,             0.00021541
                      6,                0.73157,                  3.017,                 1.2748,                0.52258,                0.21951,                0.25359,                0.16553,                 1.4517,                 2.8513,                 3.0441,             0.00021321,             0.00021321,             0.00021321
                      7,                0.73725,                 2.7795,                 1.2823,                  0.822,                0.21915,                0.31494,                0.23211,                 1.3526,                 2.6989,                 2.9913,             0.00021101,             0.00021101,             0.00021101
                      8,                0.71925,                 2.5733,                 1.2551,                0.41253,                0.22007,                0.27548,                 0.1575,                 1.4292,                 2.9815,                  2.312,             0.00020881,             0.00020881,             0.00020881
                      9,                 0.7105,                 2.3737,                 1.2469,                0.62938,                0.29268,                0.35163,                0.24465,                 1.0702,                 2.7205,                 1.9925,             0.00020662,             0.00020662,             0.00020662
                     10,                0.68409,                 2.1786,                 1.2322,                0.58999,                0.17656,                 0.3756,                0.24271,                 1.3619,                 2.7977,                 2.5726,             0.00020442,             0.00020442,             0.00020442
                     11,                0.69989,                 2.0674,                 1.2337,                0.60293,                0.28196,                0.33489,                0.22608,                 1.0902,                 2.8884,                 1.7928,             0.00020222,             0.00020222,             0.00020222
                     12,                0.68517,                 1.9391,                 1.2241,                0.58501,                0.35366,                0.37608,                0.24478,                 1.2913,                 2.6472,                 2.5265,             0.00020002,             0.00020002,             0.00020002
                     13,                0.66172,                  1.795,                  1.208,                0.63149,                0.41004,                0.46835,                0.35472,                 1.1746,                 2.3779,                 2.3576,             0.00019782,             0.00019782,             0.00019782
                     14,                0.65312,                 1.6972,                 1.1978,                0.67958,                 0.2561,                0.36018,                0.26506,                 1.1112,                 2.7898,                  2.167,             0.00019563,             0.00019563,             0.00019563
                     15,                0.65607,                 1.6439,                 1.1946,                0.19085,                0.56098,                0.30746,                0.20966,                 1.1767,                 2.8678,                 2.2353,             0.00019343,             0.00019343,             0.00019343
                     16,                0.64517,                 1.5809,                 1.2001,                 0.1249,                0.68293,                0.30569,                0.19068,                 1.4526,                 2.9429,                   2.57,             0.00019123,             0.00019123,             0.00019123
                     17,                0.65387,                 1.5079,                 1.1949,                0.60546,                0.28785,                0.39671,                0.28351,                 1.0143,                 2.6945,                 1.6188,             0.00018903,             0.00018903,             0.00018903
                     18,                0.63565,                 1.4421,                  1.186,                0.67446,                0.22449,                0.38403,                0.28174,                  1.156,                 2.8116,                 2.0119,             0.00018684,             0.00018684,             0.00018684
                     19,                0.63134,                 1.3869,                 1.1747,                0.65552,                0.21818,                0.33185,                 0.2143,                 1.1802,                 2.8725,                 2.1562,             0.00018464,             0.00018464,             0.00018464
                     20,                0.62064,                 1.3086,                 1.1653,                0.75558,                0.19512,                0.28737,                0.23112,                0.93432,                 2.9009,                 1.8963,             0.00018244,             0.00018244,             0.00018244
                     21,                0.62225,                 1.2913,                 1.1788,                0.62071,                0.29732,                0.36279,                0.26553,                 1.0716,                 2.7646,                  1.987,             0.00018024,             0.00018024,             0.00018024
                     22,                0.60279,                 1.1939,                 1.1455,                0.59689,                0.24196,                0.32102,                0.22356,                 1.0397,                 2.8447,                 1.8832,             0.00017804,             0.00017804,             0.00017804
                     23,                0.62154,                 1.1964,                 1.1644,                0.85796,                0.12195,                0.36011,                 0.2569,                  1.026,                  2.942,                 1.9286,             0.00017585,             0.00017585,             0.00017585
                     24,                0.59204,                 1.1317,                 1.1481,                0.64991,                0.18293,                 0.3277,                0.22739,                 1.1932,                 2.9583,                 2.2396,             0.00017365,             0.00017365,             0.00017365
                     25,                0.58067,                 1.0675,                 1.1423,                 0.6265,                0.22217,                0.34258,                0.23437,                 1.1748,                 2.9984,                 2.0804,             0.00017145,             0.00017145,             0.00017145
                     26,                0.58695,                 1.0622,                 1.1391,                0.62371,                0.27841,                0.33965,                0.25447,                0.91627,                 2.8523,                 1.5918,             0.00016925,             0.00016925,             0.00016925
                     27,                0.58769,                 1.0508,                 1.1417,                0.71724,                0.17883,                0.38517,                0.28745,                 1.0239,                 2.8913,                 1.8116,             0.00016705,             0.00016705,             0.00016705
                     28,                0.60164,                 1.0461,                 1.1484,                0.72392,                0.31912,                0.38583,                 0.2855,                 1.1121,                 2.8254,                 2.0906,             0.00016486,             0.00016486,             0.00016486
                     29,                0.57456,                0.98465,                 1.1432,                0.58593,                0.29268,                0.41935,                0.30508,                 1.0401,                   2.68,                 1.7934,             0.00016266,             0.00016266,             0.00016266
                     30,                0.56589,                0.97563,                 1.1281,                0.63108,                0.21951,                0.36699,                0.28554,                 1.0004,                 2.8321,                 1.7898,             0.00016046,             0.00016046,             0.00016046
                     31,                0.56906,                0.94895,                 1.1367,                 0.9107,                0.14634,                0.39094,                0.30425,                 1.0413,                 2.8537,                 1.8537,             0.00015826,             0.00015826,             0.00015826
                     32,                0.57298,                0.95937,                 1.1313,                0.78462,                0.17073,                0.32496,                0.25921,                0.97987,                 3.0125,                  1.824,             0.00015607,             0.00015607,             0.00015607
                     33,                0.56704,                0.93539,                 1.1336,                0.56289,                 0.2086,                0.26136,                0.17308,                 1.2536,                 3.0775,                 2.3022,             0.00015387,             0.00015387,             0.00015387
                     34,                 0.5606,                0.89627,                 1.1298,                0.61803,                0.29845,                0.36386,                0.25801,                 1.1564,                 3.1545,                 2.0452,             0.00015167,             0.00015167,             0.00015167
                     35,                0.57403,                0.90883,                 1.1295,                0.78971,                0.20121,                0.34774,                0.22904,                 1.2381,                 2.9541,                 2.4544,             0.00014947,             0.00014947,             0.00014947
                     36,                0.54988,                0.86908,                 1.1102,                0.63681,                0.20732,                0.36899,                0.26569,                 1.1891,                 3.1086,                 2.4427,             0.00014727,             0.00014727,             0.00014727
                     37,                0.55597,                 0.8474,                 1.1265,                0.60552,                0.33244,                0.44786,                0.36008,                0.98002,                 2.9246,                 1.8726,             0.00014508,             0.00014508,             0.00014508
                     38,                0.55476,                0.84638,                 1.1187,                0.66196,                0.32311,                0.38283,                0.27613,                 1.0965,                 2.8738,                 2.1129,             0.00014288,             0.00014288,             0.00014288
                     39,                0.53872,                0.82547,                 1.1202,                0.55979,                0.33268,                0.39832,                0.27929,                 1.2259,                 2.8004,                 2.3394,             0.00014068,             0.00014068,             0.00014068
                     40,                0.54688,                0.79918,                 1.1221,                0.57557,                0.28837,                0.38403,                0.24895,                 1.3411,                 2.8865,                 2.7019,             0.00013848,             0.00013848,             0.00013848
                     41,                0.54206,                0.79639,                 1.1108,                0.65937,                0.25731,                0.39907,                0.27995,                 1.2807,                 2.9867,                 2.4978,             0.00013629,             0.00013629,             0.00013629
                     42,                0.54719,                0.78283,                 1.1125,                0.65219,                 0.2381,                0.42627,                 0.2786,                 1.3618,                 2.8292,                 2.6786,             0.00013409,             0.00013409,             0.00013409
                     43,                0.55015,                0.78839,                 1.1174,                0.61974,                0.28843,                0.34746,                0.23243,                 1.2428,                 2.9515,                  2.385,             0.00013189,             0.00013189,             0.00013189
                     44,                0.55081,                0.81423,                 1.1185,                0.62454,                0.20009,                 0.2845,                0.18915,                 1.2892,                 3.1988,                 2.3103,             0.00012969,             0.00012969,             0.00012969
                     45,                0.54143,                0.76209,                 1.1059,                0.57082,                0.38564,                0.46556,                0.34278,                  1.098,                 2.9154,                 2.0086,             0.00012749,             0.00012749,             0.00012749
                     46,                0.53425,                0.76739,                 1.1019,                0.58752,                0.30079,                0.36353,                0.26882,                0.99694,                 3.0337,                 1.7905,              0.0001253,              0.0001253,              0.0001253
                     47,                0.54243,                0.74404,                 1.1186,                0.56271,                0.30624,                0.37423,                0.26902,                 1.0829,                 2.9251,                 1.9143,              0.0001231,              0.0001231,              0.0001231
                     48,                0.53183,                0.75598,                 1.0985,                0.58063,                0.25861,                0.36701,                0.27831,                0.92679,                 2.8047,                  1.629,              0.0001209,              0.0001209,              0.0001209
                     49,                 0.5234,                0.75547,                 1.1066,                0.57692,                0.31722,                0.35991,                0.25038,                 1.0659,                 2.8618,                 1.9062,              0.0001187,              0.0001187,              0.0001187
                     50,                0.54054,                0.73166,                 1.1124,                 0.5019,                0.30083,                0.36408,                0.26084,                 0.9711,                 2.8424,                 1.7027,             0.00011651,             0.00011651,             0.00011651
                     51,                0.52135,                0.72275,                 1.0974,                0.62837,                0.23171,                0.35918,                0.26818,                 1.0207,                 2.9449,                 1.8185,             0.00011431,             0.00011431,             0.00011431
                     52,                0.51588,                0.70072,                 1.0831,                0.62812,                0.21328,                0.39725,                0.29462,                 1.0569,                 2.8942,                 1.8843,             0.00011211,             0.00011211,             0.00011211
                     53,                0.52681,                0.69947,                 1.1054,                  0.609,                0.31707,                0.40225,                0.27195,                 1.2358,                 2.7444,                 2.3254,             0.00010991,             0.00010991,             0.00010991
                     54,                0.50888,                0.70686,                 1.0983,                0.61241,                0.29351,                0.38004,                0.27131,                 1.1702,                 2.8492,                 2.1696,             0.00010771,             0.00010771,             0.00010771
                     55,                0.52405,                0.69371,                 1.1025,                0.65997,                 0.2561,                0.30605,                0.21473,                 1.1556,                 3.0924,                 2.2173,             0.00010552,             0.00010552,             0.00010552
                     56,                 0.5057,                0.69723,                 1.0962,                0.65212,                0.25004,                0.37334,                0.24643,                 1.3434,                  2.963,                 2.5481,             0.00010332,             0.00010332,             0.00010332
                     57,                0.52105,                 0.6915,                 1.0946,                0.58579,                0.26829,                0.36773,                0.26725,                 1.1555,                 2.9503,                 2.1129,             0.00010112,             0.00010112,             0.00010112
                     58,                0.52447,                0.68157,                 1.0956,                0.64579,                0.27165,                0.39228,                0.27457,                 1.2133,                 2.8758,                 2.2175,             9.8923e-05,             9.8923e-05,             9.8923e-05
                     59,                0.52516,                0.68863,                 1.0991,                0.68025,                0.24827,                0.33375,                 0.2376,                 1.1611,                 3.0414,                  2.216,             9.6725e-05,             9.6725e-05,             9.6725e-05
                     60,                 0.4991,                0.63741,                 1.0974,                0.61807,                0.25466,                0.31971,                0.22815,                  1.153,                 3.0521,                 2.3049,             9.4528e-05,             9.4528e-05,             9.4528e-05
                     61,                0.50019,                0.66319,                 1.0903,                 0.5857,                0.26761,                0.33846,                0.24769,                 1.0839,                 2.7923,                 2.0081,              9.233e-05,              9.233e-05,              9.233e-05
                     62,                0.50946,                0.65055,                 1.0848,                0.62671,                0.25273,                0.36185,                0.26597,                  1.034,                 2.7984,                  1.974,             9.0132e-05,             9.0132e-05,             9.0132e-05
                     63,                0.49214,                0.64708,                 1.0849,                0.60805,                0.23936,                 0.3572,                0.24187,                  1.223,                 2.7806,                 2.4146,             8.7934e-05,             8.7934e-05,             8.7934e-05
                     64,                 0.4987,                0.63638,                 1.0906,                0.61485,                0.30488,                0.34812,                0.22998,                 1.3066,                 2.7694,                 2.6097,             8.5736e-05,             8.5736e-05,             8.5736e-05
                     65,                0.50089,                0.61414,                 1.0877,                 0.5797,                0.28049,                0.37211,                0.26549,                 1.1743,                 2.8321,                 2.3039,             8.3539e-05,             8.3539e-05,             8.3539e-05
                     66,                 0.4953,                0.64448,                 1.0817,                0.68008,                0.30807,                0.38358,                0.28191,                 1.1393,                 2.8281,                 2.2543,             8.1341e-05,             8.1341e-05,             8.1341e-05
                     67,                0.50552,                0.63154,                 1.0827,                 0.5539,                0.30085,                0.35559,                0.26213,                 1.1227,                 2.7933,                  2.283,             7.9143e-05,             7.9143e-05,             7.9143e-05
                     68,                0.50125,                0.61818,                 1.0787,                0.68666,                0.23171,                0.33389,                0.24049,                 1.0745,                 2.8226,                 2.1097,             7.6945e-05,             7.6945e-05,             7.6945e-05
                     69,                0.50907,                 0.6274,                 1.0911,                0.60246,                0.32155,                0.35246,                0.24676,                 1.2266,                 2.8003,                 2.2862,             7.4747e-05,             7.4747e-05,             7.4747e-05
                     70,                0.49055,                0.60729,                 1.0811,                0.55316,                0.32922,                0.32368,                0.23935,                 1.0491,                 2.8989,                 2.0441,              7.255e-05,              7.255e-05,              7.255e-05
                     71,                0.47077,                0.59666,                 1.0626,                 0.5629,                0.34146,                0.36526,                0.26689,                 1.1211,                 2.8102,                  2.212,             7.0352e-05,             7.0352e-05,             7.0352e-05
                     72,                0.50195,                0.61293,                 1.0903,                   0.57,                0.29299,                0.37116,                0.28083,                  1.121,                 2.7464,                 2.2141,             6.8154e-05,             6.8154e-05,             6.8154e-05
                     73,                 0.4788,                0.59205,                 1.0674,                0.53984,                 0.2647,                0.37397,                0.27448,                 1.1575,                  2.892,                 2.2647,             6.5956e-05,             6.5956e-05,             6.5956e-05
                     74,                0.49708,                0.60581,                 1.0816,                0.62479,                0.23171,                0.34625,                0.25078,                  1.088,                 2.9089,                 2.1907,             6.3758e-05,             6.3758e-05,             6.3758e-05
                     75,                0.47734,                0.59259,                 1.0739,                 0.7787,                0.20732,                0.31962,                0.21039,                 1.2935,                 2.9535,                 2.5582,             6.1561e-05,             6.1561e-05,             6.1561e-05
                     76,                0.47472,                0.58687,                 1.0715,                 0.6656,                0.28049,                0.37587,                0.26703,                 1.2313,                 2.8996,                  2.422,             5.9363e-05,             5.9363e-05,             5.9363e-05
                     77,                0.46307,                0.57313,                 1.0663,                0.63641,                0.30862,                0.34963,                0.25388,                 1.2086,                 2.8697,                 2.3338,             5.7165e-05,             5.7165e-05,             5.7165e-05
                     78,                0.48079,                0.59607,                 1.0705,                0.60354,                0.33697,                0.38005,                 0.2684,                 1.1833,                 2.7786,                  2.266,             5.4967e-05,             5.4967e-05,             5.4967e-05
                     79,                0.47849,                0.58956,                 1.0713,                0.60652,                 0.3172,                0.33481,                0.23966,                 1.2224,                 2.8437,                 2.2626,             5.2769e-05,             5.2769e-05,             5.2769e-05
                     80,                0.46503,                0.57947,                 1.0601,                0.74357,                0.27961,                0.32088,                0.22664,                 1.1996,                 2.8441,                 2.2243,             5.0572e-05,             5.0572e-05,             5.0572e-05
                     81,                0.48258,                0.57739,                 1.0651,                0.84992,                0.21951,                0.30814,                0.23233,                 1.1339,                 2.9009,                  2.093,             4.8374e-05,             4.8374e-05,             4.8374e-05
                     82,                0.46949,                0.58324,                 1.0765,                0.87123,                0.23826,                0.33044,                0.23518,                 1.2009,                 2.7851,                 2.2797,             4.6176e-05,             4.6176e-05,             4.6176e-05
                     83,                 0.4658,                 0.5546,                 1.0646,                0.76798,                0.22279,                0.34618,                0.24135,                 1.2089,                 2.8135,                  2.274,             4.3978e-05,             4.3978e-05,             4.3978e-05
                     84,                0.47766,                0.57345,                  1.073,                 0.6511,                0.24625,                0.31369,                0.22308,                 1.2057,                 2.9103,                 2.2868,              4.178e-05,              4.178e-05,              4.178e-05
                     85,                0.46896,                0.57533,                 1.0795,                0.67878,                0.24279,                0.30706,                0.21173,                 1.2321,                 2.9401,                 2.3719,             3.9583e-05,             3.9583e-05,             3.9583e-05
                     86,                0.48709,                0.57584,                 1.0713,                0.68643,                0.30663,                 0.3193,                 0.2227,                 1.2199,                  2.872,                 2.3368,             3.7385e-05,             3.7385e-05,             3.7385e-05
                     87,                0.47275,                0.56138,                 1.0674,                0.59338,                0.31336,                0.34757,                0.25055,                 1.1845,                 2.8203,                 2.2469,             3.5187e-05,             3.5187e-05,             3.5187e-05
